poll_date,fieldwork_start,fieldwork_end,pollster,pollster_lean,sample_size,response_rate_pct,election,candidate,party,support_pct,notes
2026-05-26,2026-05-21,2026-05-25,KBS-한국리서치,centerleft,800,13.9,2026_seoul_mayor,정원오,더불어민주당,,NESDC 16853 | 무선전화면접 | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19078&menuNo=200467
2026-05-26,2026-05-21,2026-05-25,KBS-한국리서치,centerleft,800,13.9,2026_seoul_mayor,오세훈,국민의힘,,NESDC 16853 | 무선전화면접 | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19078&menuNo=200467
2026-05-28,2026-05-24,2026-05-26,동아일보-리서치앤리서치,right,800,9.8,2026_seoul_mayor,정원오,더불어민주당,,NESDC 16992 | 무선전화면접 | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19220&menuNo=200467
2026-05-28,2026-05-24,2026-05-26,동아일보-리서치앤리서치,right,800,9.8,2026_seoul_mayor,오세훈,국민의힘,,NESDC 16992 | 무선전화면접 | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19220&menuNo=200467
2026-05-27,2026-05-21,2026-05-22,텔레그래프코리아-리얼미터,center,802,5.7,2026_seoul_mayor,정원오,더불어민주당,,NESDC 16928 | 무선 ARS | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19174&menuNo=200467
2026-05-27,2026-05-21,2026-05-22,텔레그래프코리아-리얼미터,center,802,5.7,2026_seoul_mayor,오세훈,국민의힘,,NESDC 16928 | 무선 ARS | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19174&menuNo=200467
2026-05-27,2026-05-25,2026-05-26,펜앤마이크-여론조사공정(주),right,809,5.2,2026_seoul_mayor,정원오,더불어민주당,,NESDC 16919 | 무선 ARS | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19152&menuNo=200467
2026-05-27,2026-05-25,2026-05-26,펜앤마이크-여론조사공정(주),right,809,5.2,2026_seoul_mayor,오세훈,국민의힘,,NESDC 16919 | 무선 ARS | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19152&menuNo=200467
2026-05-27,2026-05-24,2026-05-25,뉴스핌-리얼미터,center,803,6.7,2026_seoul_mayor,정원오,더불어민주당,,NESDC 16880 | 무선 ARS | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19110&menuNo=200467
2026-05-27,2026-05-24,2026-05-25,뉴스핌-리얼미터,center,803,6.7,2026_seoul_mayor,오세훈,국민의힘,,NESDC 16880 | 무선 ARS | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19110&menuNo=200467
2026-05-26,2026-05-21,2026-05-25,KBS-한국리서치,centerleft,800,13.9,2026_seoul_mayor,정원오,더불어민주당,,NESDC 16853 | 무선전화면접 | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19078&menuNo=200467
2026-05-26,2026-05-21,2026-05-25,KBS-한국리서치,centerleft,800,13.9,2026_seoul_mayor,오세훈,국민의힘,,NESDC 16853 | 무선전화면접 | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19078&menuNo=200467
2026-05-28,2026-05-25,2026-05-27,JTBC-메타보이스(주),centerleft,804,9.8,2026_seoul_mayor,정원오,더불어민주당,,NESDC 17086 | 무선전화면접 | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19251&menuNo=200467
2026-05-28,2026-05-25,2026-05-27,JTBC-메타보이스(주),centerleft,804,9.8,2026_seoul_mayor,오세훈,국민의힘,,NESDC 17086 | 무선전화면접 | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19251&menuNo=200467
2026-05-28,2026-05-25,2026-05-26,쿠키뉴스-한길리서치,center,1002,6.0,2026_seoul_mayor,정원오,더불어민주당,,NESDC 17050 | 무선 ARS | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19303&menuNo=200467
2026-05-28,2026-05-25,2026-05-26,쿠키뉴스-한길리서치,center,1002,6.0,2026_seoul_mayor,오세훈,국민의힘,,NESDC 17050 | 무선 ARS | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19303&menuNo=200467
2026-05-28,2026-05-26,2026-05-27,한양경제-조원씨앤아이,center,800,6.8,2026_seoul_mayor,정원오,더불어민주당,,NESDC 17048 | 무선 ARS | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19300&menuNo=200467
2026-05-28,2026-05-26,2026-05-27,한양경제-조원씨앤아이,center,800,6.8,2026_seoul_mayor,오세훈,국민의힘,,NESDC 17048 | 무선 ARS | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19300&menuNo=200467
